pH,Turbidity,Chloramine,Dissolved Oxygen,Solids,Potability
7.8,4.6,2.81,7.68,46.87,TRUE
8.16,3.9,0.11,7.1,940.8,TRUE
7.25,3.67,2.51,7.84,450.35,TRUE
7.83,4.52,0.51,7.51,429.84,TRUE
8.23,4.19,0.17,7.81,1053.52,TRUE
7.42,3.21,3.08,7.75,706.36,TRUE
7.78,2.36,2.3,7.84,743.2,TRUE
8.19,4.16,0.66,7.02,394.52,TRUE
7.06,2.61,2.02,7.97,1075.36,TRUE
6.99,2.52,1.42,6.68,95.25,TRUE
7.48,3.04,0.06,7.06,841.84,TRUE
7.45,1.22,0.96,7.17,619.65,TRUE
6.57,1.93,0.57,7.0,1016.3,TRUE
6.79,2.23,2.08,7.03,136.87,TRUE
7.87,4.22,3.37,7.9,1195.42,TRUE
7.0,3.29,2.96,6.51,160.71,TRUE
7.77,3.01,0.6,7.89,94.16,TRUE
7.15,4.04,3.35,7.74,1060.14,TRUE
8.3,3.68,2.44,6.75,825.79,TRUE
6.67,3.32,1.05,7.7,104.09,TRUE
7.03,2.78,2.14,6.77,226.12,TRUE
7.3,1.99,2.9,6.6,984.12,TRUE
8.01,3.93,0.14,7.38,970.27,TRUE
6.63,3.39,1.19,7.04,776.57,TRUE
6.78,4.78,2.95,7.22,883.32,TRUE
7.74,1.65,1.66,7.45,281.77,TRUE
8.13,2.82,0.16,7.57,893.44,TRUE
8.38,1.29,2.96,6.67,133.76,TRUE
8.36,2.78,3.82,7.89,1148.29,TRUE
7.37,3.76,0.74,6.65,1140.36,TRUE
6.51,3.16,3.61,7.28,732.14,TRUE
8.31,4.87,3.19,7.0,821.06,TRUE
6.89,3.15,0.9,6.68,322.45,TRUE
8.45,1.11,1.73,7.65,181.88,TRUE
6.54,4.45,2.1,7.71,426.95,TRUE
7.66,1.8,2.99,7.78,591.09,TRUE
6.7,3.67,2.42,7.14,968.8,TRUE
7.25,1.16,2.83,6.89,401.19,TRUE
8.33,4.43,3.54,7.71,1100.7,TRUE
8.11,3.22,2.35,6.72,520.52,TRUE
7.83,2.88,2.14,6.99,269.55,TRUE
7.02,2.36,3.38,7.69,693.93,TRUE
8.28,1.35,1.19,6.8,460.03,TRUE
7.12,4.99,1.23,7.51,1069.91,TRUE
7.83,1.97,1.62,7.87,1137.32,TRUE
8.04,2.59,0.07,6.5,866.06,TRUE
7.36,4.31,2.97,6.98,641.59,TRUE
7.81,3.23,1.3,7.19,792.29,TRUE
7.39,4.44,3.94,7.62,591.89,TRUE
7.93,1.22,3.65,6.87,1110.34,TRUE
7.45,3.97,1.17,6.97,559.47,TRUE
7.98,1.43,2.13,7.95,82.0,TRUE
8.12,1.71,1.93,7.32,857.09,TRUE
8.32,1.26,3.71,7.97,756.75,TRUE
7.44,4.55,0.31,6.74,12.93,TRUE
7.34,4.55,2.16,7.45,880.75,TRUE
6.95,3.47,0.41,6.61,417.13,TRUE
7.24,2.25,0.35,6.64,418.25,TRUE
7.73,3.47,2.74,7.98,377.81,TRUE
8.26,3.39,3.55,7.7,953.36,TRUE
7.56,2.0,0.38,6.66,338.09,TRUE
6.88,1.21,1.86,6.83,988.29,TRUE
6.89,1.69,2.34,7.53,355.4,TRUE
7.94,4.67,2.18,6.56,378.24,TRUE
7.82,3.66,3.83,7.37,394.77,TRUE
6.52,3.16,3.13,6.52,422.16,TRUE
7.05,2.3,0.47,7.53,1175.83,TRUE
8.48,2.14,0.45,6.88,821.78,TRUE
6.61,4.93,3.5,7.24,534.65,TRUE
8.42,2.49,2.52,7.52,93.5,TRUE
7.61,1.5,2.04,7.61,501.1,TRUE
8.03,4.33,3.72,6.79,410.15,TRUE
7.82,1.79,0.05,7.83,714.69,TRUE
8.46,2.1,1.54,7.0,443.02,TRUE
8.36,4.57,3.79,7.23,658.02,TRUE
7.03,1.82,3.4,7.17,571.62,TRUE
7.32,1.43,0.25,7.87,364.87,TRUE
6.79,4.71,2.12,7.12,367.17,TRUE
7.14,2.17,1.78,7.29,150.89,TRUE
6.88,3.28,0.7,7.24,278.24,TRUE
7.88,1.22,1.68,7.75,753.21,TRUE
6.52,1.46,0.36,7.56,988.84,TRUE
6.53,2.15,1.4,6.78,587.41,TRUE
8.21,1.66,3.4,7.12,623.64,TRUE
7.91,4.32,2.27,7.79,1195.69,TRUE
7.84,2.76,3.09,6.85,978.52,TRUE
7.12,4.53,2.33,7.79,389.27,TRUE
7.31,2.25,0.55,7.51,1110.55,TRUE
7.86,3.62,1.53,6.92,387.15,TRUE
8.15,1.93,2.92,7.45,909.77,TRUE
7.22,4.05,3.39,7.43,980.34,TRUE
7.08,3.82,1.8,7.25,506.66,TRUE
7.57,3.86,2.66,6.81,78.42,TRUE
6.69,1.64,3.94,6.76,1016.28,TRUE
7.2,2.2,2.69,7.66,980.61,TRUE
7.8,3.41,2.44,7.39,558.49,TRUE
8.03,2.36,3.52,6.92,502.36,TRUE
6.87,2.24,3.01,7.56,142.48,TRUE
7.68,3.49,3.5,7.24,5.78,TRUE
7.41,4.14,2.45,6.67,699.5,TRUE
8.39,2.95,1.17,7.72,565.34,TRUE
8.26,3.56,0.45,7.15,122.34,TRUE
7.93,2.78,1.13,7.89,737.6,TRUE
7.03,4.79,0.79,6.96,25.48,TRUE
7.92,3.42,3.66,7.99,595.22,TRUE
7.33,1.99,1.79,6.63,150.28,TRUE
8.06,4.88,2.11,7.35,1188.34,TRUE
7.46,4.86,1.76,7.9,294.15,TRUE
7.82,1.71,0.23,7.41,1025.71,TRUE
8.45,1.85,3.93,7.6,886.38,TRUE
6.86,2.58,1.23,6.98,564.6,TRUE
6.69,3.3,2.1,6.58,85.68,TRUE
7.16,1.55,3.22,6.95,378.93,TRUE
6.6,3.86,3.11,7.62,572.21,TRUE
6.61,3.57,2.2,7.42,50.47,TRUE
6.55,2.07,0.68,7.26,1139.55,TRUE
7.54,1.14,3.5,6.72,873.43,TRUE
7.52,1.61,2.68,6.84,515.12,TRUE
6.67,1.48,1.61,6.58,285.24,TRUE
6.6,2.74,2.44,7.04,934.92,TRUE
7.2,4.28,0.62,7.61,158.88,TRUE
8.41,4.06,0.61,6.83,1116.42,TRUE
7.62,4.82,0.61,7.16,510.44,TRUE
7.69,4.89,1.49,7.21,18.78,TRUE
8.42,4.38,3.44,7.16,160.31,TRUE
6.64,3.13,2.98,6.73,600.46,TRUE
7.76,2.32,3.33,7.17,965.02,TRUE
6.83,1.24,2.38,7.73,635.98,TRUE
7.75,4.21,0.25,6.77,322.5,TRUE
6.81,4.34,0.7,7.31,786.43,TRUE
7.48,2.49,1.29,6.95,839.44,TRUE
6.58,4.94,2.34,6.58,801.97,TRUE
7.54,4.83,0.28,7.1,211.97,TRUE
7.8,2.14,3.95,7.29,1062.07,TRUE
7.86,2.1,3.51,7.59,45.84,TRUE
7.79,1.66,3.9,7.26,663.54,TRUE
8.21,4.66,1.17,7.11,394.35,TRUE
6.71,2.24,1.75,6.61,905.77,TRUE
8.45,2.73,0.43,7.79,968.06,TRUE
7.11,4.55,2.93,7.5,689.65,TRUE
6.74,1.69,0.41,6.56,216.76,TRUE
7.48,4.77,1.48,6.62,958.92,TRUE
8.44,3.64,2.18,7.4,912.19,TRUE
7.14,3.49,0.5,7.46,140.11,TRUE
7.6,2.65,0.16,7.21,307.46,TRUE
6.81,2.26,2.34,7.31,425.86,TRUE
6.93,1.1,3.73,6.81,189.64,TRUE
8.04,4.52,0.02,7.36,389.45,TRUE
6.52,2.28,3.05,7.39,865.44,TRUE
7.43,4.1,0.77,7.27,707.73,TRUE
7.2,4.76,1.76,6.63,852.13,TRUE
8.06,1.01,2.35,7.87,787.15,TRUE
7.45,4.06,3.69,7.8,290.83,TRUE
8.02,1.48,2.06,7.0,111.51,TRUE
6.87,2.84,3.26,7.35,602.67,TRUE
7.98,2.98,1.56,6.83,187.34,TRUE
7.18,2.97,1.57,7.59,941.08,TRUE
6.74,3.32,3.43,6.55,1091.09,TRUE
7.9,3.0,2.1,6.84,1164.43,TRUE
7.82,1.6,2.56,7.48,82.83,TRUE
7.85,1.56,1.55,7.33,203.06,TRUE
8.45,4.31,1.08,6.92,895.44,TRUE
8.16,2.62,3.99,6.63,788.88,TRUE
7.23,4.95,1.46,7.82,612.66,TRUE
8.14,3.46,2.19,7.48,881.41,TRUE
6.57,3.78,0.1,7.82,461.74,TRUE
7.46,4.13,3.5,6.5,568.69,TRUE
6.57,4.55,2.13,7.24,1140.3,TRUE
7.31,2.67,0.31,6.78,806.62,TRUE
6.59,2.04,2.38,6.94,533.79,TRUE
7.02,4.8,0.69,6.58,1124.72,TRUE
6.6,4.63,0.85,7.87,1085.04,TRUE
7.78,3.01,3.47,7.55,1013.75,TRUE
8.12,4.74,0.88,6.7,1064.49,TRUE
7.05,4.78,2.82,7.27,264.24,TRUE
8.24,2.35,1.3,7.12,450.71,TRUE
7.91,2.39,3.16,6.54,192.54,TRUE
8.1,3.72,3.82,6.62,123.46,TRUE
8.21,2.33,1.58,6.7,72.09,TRUE
8.42,4.89,0.35,7.64,843.34,TRUE
7.6,4.76,2.46,7.0,207.61,TRUE
7.0,3.18,1.68,7.71,468.63,TRUE
6.89,3.81,3.36,6.55,715.5,TRUE
7.62,3.88,1.31,7.27,1146.01,TRUE
8.38,1.3,3.64,7.8,725.38,TRUE
7.44,1.79,2.35,7.63,965.12,TRUE
8.24,3.05,3.58,6.66,1088.62,TRUE
8.02,3.45,3.49,7.11,1064.88,TRUE
6.73,4.87,0.22,6.5,732.96,TRUE
6.66,3.32,0.28,7.08,740.97,TRUE
7.27,2.42,0.61,7.72,854.43,TRUE
6.65,1.0,2.13,6.53,912.68,TRUE
7.41,1.63,1.98,7.55,6.3,TRUE
7.74,4.99,2.55,6.74,1064.51,TRUE
7.4,3.33,2.85,7.89,123.1,TRUE
6.76,1.37,1.61,7.56,850.43,TRUE
7.03,3.56,3.42,7.97,962.67,TRUE
7.42,4.75,3.81,6.57,242.22,TRUE
8.16,4.09,2.69,7.64,81.56,TRUE
6.72,4.47,0.04,6.73,707.98,TRUE
7.58,1.9,3.77,7.0,847.24,TRUE
8.04,2.05,3.25,7.84,960.43,TRUE
7.72,1.48,1.96,6.65,497.0,TRUE
6.72,4.04,2.07,7.51,910.67,TRUE
6.55,3.26,2.65,6.96,55.68,TRUE
8.4,2.34,1.4,6.9,1092.11,TRUE
7.82,2.42,3.63,6.9,820.23,TRUE
7.63,1.74,2.33,7.49,121.89,TRUE
8.23,1.33,2.38,7.15,724.38,TRUE
7.98,1.44,1.26,7.84,187.21,TRUE
8.2,4.01,3.13,7.31,259.73,TRUE
7.46,1.89,3.46,7.69,143.04,TRUE
8.18,4.47,1.87,7.78,738.98,TRUE
7.58,4.85,3.35,6.87,974.73,TRUE
8.29,1.65,1.72,7.82,748.28,TRUE
6.68,1.98,2.62,7.18,653.98,TRUE
7.37,3.33,4.0,7.44,43.12,TRUE
8.29,2.65,2.46,7.49,685.4,TRUE
8.2,1.15,1.13,7.11,812.04,TRUE
8.27,2.81,0.58,7.52,826.14,TRUE
7.71,3.36,3.84,7.44,845.29,TRUE
6.65,1.31,0.43,6.91,857.34,TRUE
7.66,2.71,0.53,7.45,605.04,TRUE
7.44,3.25,2.48,6.57,962.17,TRUE
8.11,2.13,2.63,7.74,395.54,TRUE
7.05,1.81,3.83,7.25,825.64,TRUE
7.05,2.25,2.33,7.9,108.34,TRUE
7.91,4.33,0.79,7.16,137.6,TRUE
7.22,1.13,1.47,7.23,1004.58,TRUE
7.7,2.56,3.69,7.39,574.45,TRUE
7.72,1.03,1.48,7.53,37.69,TRUE
6.75,3.03,0.55,7.95,347.63,TRUE
6.59,3.12,1.03,7.1,630.45,TRUE
8.1,2.77,0.62,6.77,623.78,TRUE
8.32,4.01,0.82,7.94,1142.26,TRUE
6.59,3.15,0.71,7.93,525.64,TRUE
6.78,4.27,1.47,7.8,836.47,TRUE
7.85,1.29,0.77,6.65,215.23,TRUE
6.71,1.01,0.44,7.41,211.1,TRUE
6.9,1.44,1.36,6.87,543.95,TRUE
6.64,2.05,1.23,7.09,105.71,TRUE
7.82,2.36,0.44,6.77,612.49,TRUE
7.58,4.09,1.58,6.55,577.44,TRUE
7.87,2.94,3.03,6.64,785.01,TRUE
7.58,4.42,1.83,7.51,564.98,TRUE
7.16,1.7,0.76,7.28,1068.33,TRUE
7.55,3.81,1.35,7.09,292.76,TRUE
6.6,3.03,1.86,7.58,423.97,TRUE
7.48,2.9,3.14,6.8,1038.9,TRUE
6.66,4.23,2.11,6.61,1167.29,TRUE
7.46,4.19,2.87,7.71,1096.94,TRUE
7.11,4.61,2.56,7.52,82.63,TRUE
6.71,3.46,2.2,7.26,576.52,TRUE
7.26,3.29,1.16,7.21,254.59,TRUE
6.74,3.42,1.83,7.91,760.37,TRUE
7.27,2.89,0.09,7.22,904.65,TRUE
7.86,3.82,1.36,6.78,108.05,TRUE
8.32,3.73,3.43,6.96,163.19,TRUE
8.17,4.1,1.22,7.44,691.18,TRUE
6.96,3.0,2.84,7.36,299.52,TRUE
7.49,2.59,0.02,7.04,696.88,TRUE
8.43,3.88,1.8,7.93,962.33,TRUE
7.65,4.18,1.14,7.22,374.59,TRUE
6.79,3.93,0.32,6.75,763.97,TRUE
6.75,1.95,1.16,7.6,746.19,TRUE
6.85,3.61,0.07,7.28,918.9,TRUE
7.38,4.35,1.27,6.55,1115.62,TRUE
6.51,2.12,2.04,6.98,925.37,TRUE
8.23,4.13,1.01,6.62,142.51,TRUE
7.41,4.41,0.81,7.76,932.15,TRUE
8.01,4.77,2.32,7.82,731.88,TRUE
6.83,2.76,1.33,6.86,1062.95,TRUE
8.1,3.09,2.06,7.58,1143.7,TRUE
7.08,3.36,3.75,6.9,315.22,TRUE
7.11,1.22,3.56,7.2,1058.13,TRUE
7.65,2.3,3.07,7.93,1174.72,TRUE
7.97,4.83,3.05,7.74,947.81,TRUE
7.6,4.25,3.47,7.84,98.43,TRUE
7.25,4.77,0.29,6.94,695.98,TRUE
6.74,4.22,0.66,7.01,740.7,TRUE
6.81,3.95,1.98,6.58,293.68,TRUE
7.55,3.96,2.66,7.08,1054.31,TRUE
6.58,1.94,2.0,7.46,346.86,TRUE
6.74,4.05,1.93,7.93,333.21,TRUE
6.59,3.1,0.82,6.77,561.65,TRUE
7.12,1.27,0.94,7.28,544.02,TRUE
7.23,2.0,2.77,7.95,675.35,TRUE
6.82,2.09,0.96,7.21,779.44,TRUE
8.38,4.22,0.69,7.34,429.6,TRUE
7.43,1.31,0.39,6.97,373.45,TRUE
6.9,4.26,2.34,7.92,165.27,TRUE
7.31,2.84,3.18,7.85,379.24,TRUE
8.45,2.81,2.03,7.96,259.67,TRUE
6.97,1.06,3.59,7.42,797.47,TRUE
8.46,1.06,2.36,6.88,687.94,TRUE
6.92,3.82,3.68,7.92,955.29,TRUE
6.9,1.0,2.83,6.54,276.79,TRUE
7.8,4.46,0.44,7.12,988.26,TRUE
7.09,3.9,3.77,7.32,392.96,TRUE
7.65,1.85,1.08,6.75,131.75,TRUE
8.04,3.08,0.09,7.67,418.93,TRUE
7.44,1.74,1.7,7.04,1170.14,TRUE
8.15,4.57,0.08,7.97,652.46,TRUE
7.1,2.64,2.16,7.39,631.59,TRUE
8.14,3.15,0.77,7.0,462.02,TRUE
7.25,4.39,1.72,7.26,460.3,TRUE
8.01,4.39,0.81,7.78,795.05,TRUE
8.07,4.61,1.08,7.06,1165.33,TRUE
7.26,2.15,1.09,6.86,142.53,TRUE
7.37,2.8,0.67,7.13,280.6,TRUE
8.0,2.03,1.64,7.89,1180.23,TRUE
7.97,4.94,2.0,7.66,765.98,TRUE
7.53,2.64,3.83,7.87,1131.05,TRUE
6.75,1.45,0.1,6.84,884.28,TRUE
7.66,4.09,1.11,7.34,340.15,TRUE
7.88,3.58,3.58,6.71,177.91,TRUE
7.83,3.59,0.47,6.85,1050.72,TRUE
6.6,2.38,2.34,7.14,1134.6,TRUE
6.77,3.47,1.84,7.47,951.14,TRUE
7.34,2.4,0.83,7.73,556.82,TRUE
6.81,2.39,3.54,7.34,273.24,TRUE
6.55,1.07,2.56,8.0,441.03,TRUE
7.77,1.37,0.78,6.8,1028.49,TRUE
7.66,1.05,2.18,6.67,528.39,TRUE
6.73,4.88,1.39,6.83,132.54,TRUE
7.19,3.87,0.72,7.59,654.94,TRUE
8.11,4.85,1.78,7.83,760.16,TRUE
7.62,2.32,1.95,8.0,1004.73,TRUE
7.48,3.79,3.43,7.11,1170.38,TRUE
8.16,2.93,0.29,7.4,1087.61,TRUE
7.3,3.9,0.21,7.12,703.67,TRUE
7.36,3.35,2.41,6.54,944.89,TRUE
6.75,1.91,2.0,7.77,704.26,TRUE
7.99,1.88,3.55,7.91,66.84,TRUE
6.89,4.21,2.66,6.89,926.85,TRUE
8.21,4.31,3.72,7.73,330.72,TRUE
7.34,4.92,0.94,6.67,502.04,TRUE
7.52,1.53,3.09,7.47,481.79,TRUE
6.56,1.05,0.16,7.31,394.66,TRUE
7.01,3.97,2.51,6.92,807.06,TRUE
6.67,3.51,3.98,6.71,1152.15,TRUE
7.71,3.05,3.82,6.54,551.07,TRUE
7.38,2.43,0.64,6.51,1069.53,TRUE
8.18,2.09,3.91,7.78,843.26,TRUE
6.95,1.9,1.2,6.85,541.69,TRUE
8.23,1.0,0.63,6.98,421.98,TRUE
7.24,1.57,2.58,7.37,1095.37,TRUE
6.71,3.59,1.07,6.59,279.23,TRUE
6.6,1.28,1.01,7.77,101.94,TRUE
8.03,1.33,3.75,6.75,840.99,TRUE
7.92,1.87,3.02,7.19,219.05,TRUE
7.16,4.36,0.23,6.64,522.86,TRUE
7.8,2.25,3.88,7.66,870.93,TRUE
7.0,2.26,2.83,7.82,422.43,TRUE
7.07,3.18,2.1,7.5,446.44,TRUE
6.72,4.31,2.61,7.44,793.6,TRUE
6.74,4.2,2.34,7.5,114.99,TRUE
8.2,1.75,0.87,6.69,908.38,TRUE
8.41,2.26,0.42,7.8,293.97,TRUE
6.71,2.5,0.9,7.77,511.28,TRUE
7.93,1.8,1.32,7.16,38.97,TRUE
6.74,2.58,2.99,7.13,893.14,TRUE
6.9,3.05,1.62,6.69,106.39,TRUE
7.45,1.76,2.74,6.6,926.45,TRUE
7.41,1.22,0.81,7.5,614.17,TRUE
7.38,3.74,2.27,6.85,662.93,TRUE
6.94,3.08,0.56,7.14,29.44,TRUE
6.73,1.03,3.16,6.59,526.67,TRUE
6.56,1.09,0.83,6.88,49.45,TRUE
7.09,4.19,3.93,6.94,516.19,TRUE
7.52,3.1,3.84,6.82,634.77,TRUE
7.36,4.43,2.96,7.94,241.47,TRUE
7.32,1.69,3.69,7.33,390.06,TRUE
6.99,2.18,0.96,6.81,88.32,TRUE
7.56,3.09,2.9,7.06,778.54,TRUE
6.93,2.7,2.17,7.75,1076.98,TRUE
8.09,1.2,0.92,7.02,636.37,TRUE
7.92,2.23,3.46,7.24,409.77,TRUE
8.16,2.76,2.37,7.48,939.9,TRUE
8.15,4.01,0.58,7.98,831.66,TRUE
7.16,3.77,3.17,7.18,25.2,TRUE
7.88,4.43,0.46,7.92,1121.21,TRUE
6.74,3.82,0.78,7.55,769.3,TRUE
7.57,2.46,1.64,7.2,219.85,TRUE
7.74,3.45,2.86,7.59,9.9,TRUE
8.48,1.24,1.62,7.92,98.64,TRUE
7.07,3.78,1.1,7.48,14.21,TRUE
8.46,4.96,0.83,6.74,529.19,TRUE
7.8,4.93,0.91,7.17,506.66,TRUE
7.4,4.81,0.13,7.44,332.47,TRUE
7.65,1.39,3.14,7.95,846.43,TRUE
7.9,2.02,3.34,7.03,550.08,TRUE
7.77,1.52,1.56,6.76,76.04,TRUE
6.56,2.71,0.48,7.64,735.3,TRUE
7.01,3.25,3.14,6.88,36.12,TRUE
6.91,2.85,0.25,7.89,1181.52,TRUE
6.76,4.98,2.13,7.86,921.27,TRUE
7.23,4.46,3.3,7.0,640.62,TRUE
7.75,4.66,2.34,6.98,1170.19,TRUE
7.91,2.44,2.96,7.23,990.63,TRUE
8.29,1.03,0.63,6.89,621.77,TRUE
8.46,1.59,3.65,7.68,506.08,TRUE
6.85,2.4,0.45,7.86,1109.36,TRUE
7.08,1.48,2.78,6.77,287.56,TRUE
7.75,2.95,3.93,6.77,80.11,TRUE
6.8,2.64,0.3,7.11,1145.96,TRUE
8.22,3.88,3.24,7.22,752.49,TRUE
7.78,2.52,0.12,6.88,924.46,TRUE
7.26,1.74,0.42,7.58,14.76,TRUE
7.6,4.33,3.58,7.59,925.36,TRUE
7.31,2.54,1.79,7.8,960.06,TRUE
7.55,3.79,1.79,7.16,494.09,TRUE
7.81,3.88,3.83,6.84,435.71,TRUE
8.05,2.29,1.56,7.96,699.42,TRUE
6.91,2.47,2.48,6.66,989.06,TRUE
8.48,2.01,3.75,7.18,330.01,TRUE
7.23,3.49,3.36,6.68,541.4,TRUE
8.14,4.15,3.47,6.95,466.66,TRUE
7.41,3.23,3.34,8.0,1141.28,TRUE
6.51,2.83,3.14,7.75,167.87,TRUE
7.65,3.61,2.83,7.97,333.53,TRUE
6.83,3.06,0.03,7.69,714.71,TRUE
8.3,1.5,2.04,7.18,1092.0,TRUE
8.33,1.85,3.83,7.02,591.0,TRUE
6.83,4.83,0.74,6.77,134.2,TRUE
8.01,1.22,2.19,7.05,383.2,TRUE
7.44,1.81,2.67,6.69,481.36,TRUE
7.7,1.04,2.03,7.97,436.92,TRUE
8.31,2.07,0.38,7.96,819.83,TRUE
8.0,3.33,1.74,7.08,530.24,TRUE
7.76,1.34,3.53,6.57,790.05,TRUE
8.4,4.66,3.87,7.61,45.84,TRUE
8.31,4.31,1.44,7.35,992.57,TRUE
6.8,2.75,2.77,7.6,215.02,TRUE
7.44,3.69,0.88,7.16,1060.41,TRUE
7.96,4.86,3.31,6.74,1131.44,TRUE
7.51,2.12,1.67,7.65,174.19,TRUE
7.52,1.15,3.85,7.6,938.35,TRUE
8.08,3.45,1.65,7.5,855.05,TRUE
8.32,1.31,2.77,6.75,192.04,TRUE
7.24,4.34,1.39,7.66,864.58,TRUE
6.52,2.32,3.18,7.12,136.01,TRUE
7.25,4.7,0.47,7.78,788.57,TRUE
7.8,1.34,2.84,7.63,808.28,TRUE
7.94,1.14,3.28,6.96,452.21,TRUE
7.21,2.27,2.48,7.08,293.43,TRUE
6.61,3.68,3.01,6.67,232.57,TRUE
8.17,4.79,0.65,7.78,557.17,TRUE
7.24,1.55,1.57,7.32,41.87,TRUE
6.64,3.43,3.25,7.38,889.61,TRUE
7.32,2.46,3.07,6.59,1002.66,TRUE
6.97,2.26,0.45,7.3,451.49,TRUE
7.6,2.97,1.72,7.01,477.57,TRUE
7.4,2.12,2.17,7.68,183.26,TRUE
7.43,2.27,0.72,7.92,1164.35,TRUE
8.28,2.14,2.62,6.56,129.67,TRUE
7.28,2.91,0.59,7.36,99.77,TRUE
7.3,1.78,2.43,7.81,908.19,TRUE
7.95,3.7,3.43,7.86,631.08,TRUE
7.38,3.07,1.63,7.4,39.92,TRUE
7.02,2.08,2.46,7.99,94.06,TRUE
7.25,4.95,3.92,7.8,193.93,TRUE
7.38,1.26,1.24,7.99,912.3,TRUE
7.05,3.3,3.99,7.01,770.87,TRUE
6.78,3.5,0.82,6.77,247.67,TRUE
7.51,2.57,1.9,7.0,473.18,TRUE
6.96,4.11,1.05,7.57,452.82,TRUE
7.65,4.07,1.11,7.66,616.29,TRUE
8.0,2.82,2.86,7.53,364.41,TRUE
8.28,4.44,3.22,7.12,195.98,TRUE
8.18,2.15,3.81,7.17,811.11,TRUE
8.24,1.7,1.5,6.92,980.97,TRUE
7.6,3.1,2.03,7.54,938.61,TRUE
6.61,2.75,2.59,7.87,923.62,TRUE
7.27,4.14,0.06,7.51,1148.18,TRUE
6.54,2.48,1.28,7.14,779.28,TRUE
8.46,4.49,3.19,6.87,638.7,TRUE
7.78,3.19,2.83,6.67,631.97,TRUE
7.8,2.02,0.75,6.79,588.66,TRUE
7.8,2.56,3.24,7.51,524.35,TRUE
7.59,1.62,2.76,6.74,596.49,TRUE
8.36,1.08,3.22,7.81,827.13,TRUE
7.47,1.44,3.31,7.14,206.55,TRUE
8.42,1.16,0.2,7.58,982.38,TRUE
7.69,2.64,3.87,7.39,609.67,TRUE
7.45,1.66,2.12,7.65,790.5,TRUE
7.11,1.66,3.05,6.92,1006.95,TRUE
7.47,3.42,1.25,7.85,176.77,TRUE
8.15,3.86,3.87,6.77,212.83,TRUE
7.26,4.11,0.44,6.55,1.43,TRUE
8.34,2.49,2.53,6.73,952.68,TRUE
6.75,1.07,1.86,7.16,772.19,TRUE
7.8,4.59,0.33,7.35,1168.09,TRUE
7.66,1.28,1.11,7.76,135.54,TRUE
7.74,2.22,0.33,7.56,744.77,TRUE
7.43,4.29,0.53,7.44,312.94,TRUE
8.02,2.37,0.84,7.52,1144.48,TRUE
8.13,2.87,3.54,7.36,143.54,TRUE
8.16,4.71,3.14,6.64,858.28,TRUE
7.46,3.91,1.39,7.89,72.64,TRUE
7.7,4.42,1.43,7.14,1146.55,TRUE
7.23,3.83,1.65,6.89,1102.76,TRUE
8.41,4.37,3.07,7.61,1046.82,TRUE
7.03,4.74,1.52,7.72,217.09,TRUE
7.57,3.34,0.56,6.58,378.01,TRUE
8.16,4.27,0.99,7.51,463.3,TRUE
8.41,2.14,0.83,7.0,239.85,TRUE
7.02,2.43,3.17,6.97,67.35,TRUE
8.24,1.63,1.99,7.84,327.57,TRUE
7.9,1.79,3.08,7.22,391.77,TRUE
7.9,3.27,3.76,7.92,626.25,TRUE
7.73,1.49,2.47,7.72,787.03,TRUE
7.35,4.2,2.63,6.55,981.32,TRUE
7.03,1.78,1.87,7.08,1171.2,TRUE
8.47,1.31,2.09,7.93,655.23,TRUE
8.16,4.16,3.49,6.88,979.98,TRUE
7.21,1.85,3.86,7.59,1121.16,TRUE
8.32,4.93,0.59,7.28,207.19,TRUE
6.57,3.98,1.79,7.9,284.89,TRUE
8.32,2.38,3.34,7.18,895.6,TRUE
8.2,2.08,2.67,6.91,1032.99,TRUE
7.16,1.3,3.89,6.66,661.51,TRUE
7.67,4.81,1.84,7.23,100.08,TRUE
7.21,4.51,1.91,7.38,117.83,TRUE
7.85,3.84,3.25,6.85,885.18,TRUE
7.45,3.12,3.99,7.19,140.74,TRUE
7.65,4.37,2.27,6.97,764.51,TRUE
7.15,4.54,1.7,6.68,935.19,TRUE
8.3,3.68,1.88,7.26,190.79,TRUE
7.9,4.92,2.49,6.89,465.1,TRUE
7.55,4.37,1.98,7.98,1027.94,TRUE
6.73,4.13,2.16,7.66,573.97,TRUE
8.21,4.8,0.75,6.95,486.95,TRUE
7.63,2.16,0.24,7.6,682.09,TRUE
7.04,2.44,0.46,7.3,577.83,TRUE
8.09,3.47,0.07,6.99,605.35,TRUE
8.04,2.43,1.93,7.91,975.12,TRUE
7.35,3.48,0.68,7.42,722.79,TRUE
7.87,1.84,2.07,7.22,867.1,TRUE
7.99,2.11,0.52,7.69,139.75,TRUE
7.14,3.64,1.01,6.71,1018.91,TRUE
6.87,4.41,1.41,6.67,362.68,TRUE
7.21,4.32,1.26,6.91,1025.58,TRUE
7.63,4.01,2.33,7.08,160.5,TRUE
7.53,3.05,3.46,7.8,875.36,TRUE
8.01,1.25,3.71,7.18,49.69,TRUE
8.29,1.32,3.15,6.64,1144.99,TRUE
6.79,2.63,0.61,7.44,1090.35,TRUE
7.76,1.99,2.35,7.43,608.69,TRUE
6.74,2.07,2.21,6.55,871.21,TRUE
7.87,2.45,2.04,6.67,73.85,TRUE
7.68,3.27,1.63,7.34,1024.27,TRUE
6.53,1.19,2.18,6.88,1081.88,TRUE
7.89,3.41,2.12,7.91,1041.21,TRUE
7.35,4.74,3.97,6.88,683.36,TRUE
